# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,1.2040870027745931,0.0,3.0818109255905055,0.3244845398191942,0.0,0.0
 0.07014440721008712,0.012300594657136303,0.17536101802521778,2.4999999999999996,1.2040870027745931,0.0,3.0818109255905055,0.3244845398191942,0.0,0.0
 0.10042744965103768,0.02521418160852927,0.426429642152812,8.290733159231188,3.4303213139383675,0.0,2.647178971054822,0.37776063157585815,73.51422220884007,2427.5705570926943
 0.12450433765079275,0.03875332523465652,0.5623294682545762,5.6444099462998185,5.436495658749591,0.0,2.2831744433737686,0.43798668249033756,83.32365648050666,407.4211863163701
 0.14550310586010998,0.05292788453734592,0.6750186087772564,5.366464327782789,7.249272863619604,0.0,1.9778040709092677,0.505611255790501,86.32778774450577,143.0622612742667
 0.1646152623939447,0.06774546153256815,0.7752959206351366,5.24678163243153,8.892021133291456,0.0,1.7209287088148486,0.581081595581417,85.95305646244869,-19.606959653855434
 0.1824409719360495,0.08321177060242599,0.8676405858249853,5.180420166261998,10.385088574654791,0.0,1.5041146966455992,0.6648429153907941,83.75921518504876,-123.07175050833266
 0.19932981933531368,0.09933094219062195,0.9544269781784068,5.138680592093138,11.746129881270196,0.0,1.3204145388096837,0.7573379197274454,80.58817007694104,-187.75971107690123
 0.21550477726984985,0.11610577256531894,1.0370864915129083,5.110338689537487,12.990438740381943,0.0,1.1641355426227409,0.8590065017232001,76.92810479926789,-226.27974010728843
 0.23111722528466477,0.13353792955820618,1.1165550063862857,5.090073945992857,14.131261547832311,0.0,1.0306244116452536,0.9702855751336553,73.07135987692772,-247.03012100859698
 0.24627474290001794,0.1516281224761748,1.1934799204617073,5.075033790328815,15.180081207944728,0.0,0.9160789171141397,1.0916090102261398,69.19468522009566,-255.7592051158388
 0.2610565018365285,0.17037624287781347,1.268328111841365,5.063551076779135,16.14686735644272,0.0,0.8173890354620094,1.2234076512107532,65.40399912151548,-256.4435068155046
